0,5
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,3
25,0
26,0
27,0
28,7
29,0
30,0
31,0
32,20
33,0
34,0
35,0
36,20
37,0
38,0
39,0
40,65
41,0
42,0
43,0
44,108
45,0
46,0
47,0
48,175
49,0
50,0
51,0
52,307
53,0
54,0
55,0
56,442
57,0
58,0
59,0
60,660
61,0
62,0
63,0
64,737
65,0
66,0
67,0
68,784
69,0
70,0
71,0
72,835
73,0
74,0
75,0
76,849
77,0
78,0
79,0
80,786
81,0
82,0
83,0
84,0
85,750
86,0
87,0
88,0
89,557
90,0
91,0
92,0
93,463
94,0
95,0
96,0
97,315
98,0
99,0
100,0
101,267
102,0
103,0
104,0
105,201
106,0
107,0
108,0
109,150
110,0
111,0
112,0
113,154
114,0
115,0
116,0
117,132
118,0
119,0
120,0
121,123
122,0
123,0
124,0
125,99
126,0
127,0
128,0
129,102
130,0
131,0
132,0
133,93
134,0
135,0
136,0
137,91
138,0
139,0
140,0
141,72
142,0
143,0
144,0
145,82
146,0
147,0
148,0
149,87
150,0
151,0
152,0
153,72
154,0
155,0
156,0
157,86
158,0
159,0
160,0
161,66
162,0
163,0
164,0
165,95
166,0
167,0
168,0
169,0
170,79
171,0
172,0
173,0
174,94
175,0
176,0
177,0
178,77
179,0
180,0
181,0
182,81
183,0
184,0
185,0
186,96
187,0
188,0
189,0
190,90
191,0
192,0
193,0
194,78
195,0
196,0
197,0
198,71
199,0
200,0
201,0
202,88
203,0
204,0
205,0
206,102
207,0
208,0
209,0
210,97
211,0
212,0
213,0
214,117
215,0
216,0
217,0
218,109
219,0
220,0
221,0
222,109
223,0
224,0
225,0
226,92
227,0
228,0
229,0
230,100
231,0
232,0
233,0
234,92
235,0
236,0
237,0
238,78
239,0
240,0
241,0
242,48
243,0
244,0
245,0
246,50
247,0
248,0
249,0
250,24
251,0
252,0
253,0
254,0
255,31
